タイプ,人数,平均PA,平均打点,平均RE24,平均WPA,平均打点_PA,平均RE24_PA,平均WPA_PA,平均打点順位,平均RE24順位,平均WPA順位
その他,11,180.36363636363637,17.818181818181817,0.46936363636363654,-0.11936481818181818,0.09494820390318816,0.0023547671957750054,-0.0014446048001924472,17.545454545454547,17.818181818181817,18.09090909090909
勝利貢献型,4,237.25,23.5,-0.27099999999999946,2.1857355000000003,0.09925251863325257,-0.00026074404179653784,0.009493515855217386,12.5,18.5,8.0
得点貢献型,3,304.0,37.0,14.272,0.2705623333333333,0.1233939926244098,0.05049140821572685,0.0011303174906806227,9.0,7.0,19.0
総合型,7,257.2857142857143,44.857142857142854,24.67742857142857,3.2581775714285715,0.17891121153925768,0.09943545025325153,0.014488074096005209,6.571428571428571,4.857142857142857,5.285714285714286
