タイプ,人数,平均PA,平均OPS,平均得点圏OPS,平均得点圏PA,平均RE24,平均WPA,平均RE24_PA,平均WPA_PA
その他,11,180.36363636363637,0.6789719727036787,0.6820506483615163,50.36363636363637,0.46936363636363637,-0.11936481818181818,0.0023547671957750084,-0.0014446048001924541
勝利貢献型,4,237.25,0.6968338686821487,0.6990928281884778,66.25,-0.27099999999999946,2.1857355000000003,-0.00026074404179655,0.00949351585521735
得点貢献型,3,304.0,0.7683078211742336,0.8906244775077544,75.0,14.272,0.2705623333333333,0.05049140821572684,0.0011303174906806
総合型,7,257.2857142857143,0.9340253755198582,1.0259849454618404,75.71428571428571,24.67742857142857,3.2581775714285715,0.09943545025325151,0.014488074096005171
