球団,選手名,4番試合数,合計得点,平均得点
DeNA,牧 秀悟,0,0.0,
オリックス,森 友哉,0,0.0,
ソフトバンク,柳田 悠岐,0,0.0,
ヤクルト,村上 宗隆,0,0.0,
ロッテ,ポランコ,0,0.0,
中日,石川 昂弥,0,0.0,
巨人,岡本 和真,0,0.0,
広島,マクブルーム,0,0.0,
楽天,浅村 栄斗,0,0.0,
西武,マキノン,0,0.0,
阪神,大山 悠輔,0,0.0,
