球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
ヤクルト,4月7日(金),丸山 和郁,宮本 丈,山田 哲人,村上 宗隆,オスナ,中村 悠平,サンタナ,長岡 秀樹,小川 泰弘
ヤクルト,4月8日(土),濱田 太貴,青木 宣親,山田 哲人,村上 宗隆,オスナ,内山 壮真,サンタナ,長岡 秀樹,尾仲 祐哉
ヤクルト,4月9日(日),丸山 和郁,青木 宣親,山田 哲人,村上 宗隆,オスナ,中村 悠平,サンタナ,長岡 秀樹,吉村 貢司郎
ヤクルト,4月11日(火),濱田 太貴,サンタナ,山田 哲人,村上 宗隆,オスナ,中村 悠平,内山 壮真,長岡 秀樹,サイスニード
ヤクルト,4月12日(水),濱田 太貴,サンタナ,山田 哲人,村上 宗隆,オスナ,中村 悠平,内山 壮真,長岡 秀樹,高橋 奎二
ヤクルト,4月14日(金),元山 飛優,青木 宣親,濱田 太貴,村上 宗隆,オスナ,太田 賢吾,中村 悠平,長岡 秀樹,小川 泰弘
ヤクルト,4月15日(土),内山 壮真,元山 飛優,サンタナ,村上 宗隆,オスナ,赤羽 由紘,濱田 太貴,長岡 秀樹,高梨 裕稔
ヤクルト,4月16日(日),濱田 太貴,中村 悠平,サンタナ,村上 宗隆,オスナ,青木 宣親,三ツ俣 大樹,長岡 秀樹,吉村 貢司郎
ヤクルト,4月18日(火),丸山 和郁,宮本 丈,サンタナ,村上 宗隆,オスナ,太田 賢吾,中村 悠平,長岡 秀樹,サイスニード
ヤクルト,4月20日(木),武岡 龍世,青木 宣親,サンタナ,村上 宗隆,オスナ,太田 賢吾,長岡 秀樹,古賀 優大,石川 雅規
ヤクルト,4月21日(金),武岡 龍世,濱田 太貴,サンタナ,村上 宗隆,オスナ,青木 宣親,中村 悠平,長岡 秀樹,高橋 奎二
ヤクルト,4月22日(土),濱田 太貴,武岡 龍世,サンタナ,村上 宗隆,オスナ,青木 宣親,中村 悠平,長岡 秀樹,小川 泰弘
ヤクルト,4月23日(日),濱田 太貴,赤羽 由紘,サンタナ,村上 宗隆,オスナ,青木 宣親,内山 壮真,長岡 秀樹,吉村 貢司郎
ヤクルト,4月25日(火),太田 賢吾,元山 飛優,オスナ,村上 宗隆,サンタナ,青木 宣親,中村 悠平,長岡 秀樹,サイスニード
ヤクルト,4月26日(水),並木 秀尊,濱田 太貴,サンタナ,村上 宗隆,オスナ,内山 壮真,長岡 秀樹,赤羽 由紘,高梨 裕稔
ヤクルト,4月27日(木),武岡 龍世,濱田 太貴,サンタナ,村上 宗隆,オスナ,青木 宣親,中村 悠平,長岡 秀樹,ピーターズ
ヤクルト,4月28日(金),並木 秀尊,濱田 太貴,山田 哲人,村上 宗隆,サンタナ,オスナ,中村 悠平,長岡 秀樹,高橋 奎二
ヤクルト,4月29日(土),山崎 晃大朗,中村 悠平,サンタナ,村上 宗隆,オスナ,青木 宣親,長岡 秀樹,元山 飛優,小川 泰弘
ヤクルト,4月30日(日),濱田 太貴,山崎 晃大朗,山田 哲人,村上 宗隆,サンタナ,オスナ,古賀 優大,長岡 秀樹,吉村 貢司郎
ヤクルト,5月2日(火),濱田 太貴,青木 宣親,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,中村 悠平,サイスニード
ヤクルト,5月3日(水),濱田 太貴,青木 宣親,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,内山 壮真,高梨 裕稔
ヤクルト,5月4日(木),塩見 泰隆,青木 宣親,サンタナ,村上 宗隆,オスナ,長岡 秀樹,中村 悠平,武岡 龍世,ピーターズ
ヤクルト,5月5日(金),塩見 泰隆,濱田 太貴,山田 哲人,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,高橋 奎二
ヤクルト,5月6日(土),濱田 太貴,青木 宣親,山田 哲人,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,小川 泰弘
ヤクルト,5月9日(火),塩見 泰隆,青木 宣親,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,古賀 優大,吉村 貢司郎
ヤクルト,5月10日(水),塩見 泰隆,青木 宣親,山田 哲人,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,石川 雅規
ヤクルト,5月11日(木),塩見 泰隆,濱田 太貴,山田 哲人,村上 宗隆,サンタナ,内山 壮真,オスナ,長岡 秀樹,サイスニード
ヤクルト,5月12日(金),濱田 太貴,並木 秀尊,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,古賀 優大,高梨 裕稔
ヤクルト,5月13日(土),山崎 晃大朗,青木 宣親,サンタナ,村上 宗隆,オスナ,武岡 龍世,内山 壮真,長岡 秀樹,ピーターズ
ヤクルト,5月14日(日),塩見 泰隆,濱田 太貴,山田 哲人,村上 宗隆,サンタナ,オスナ,内山 壮真,長岡 秀樹,小川 泰弘
ヤクルト,5月16日(火),塩見 泰隆,青木 宣親,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,古賀 優大,吉村 貢司郎
ヤクルト,5月17日(水),塩見 泰隆,青木 宣親,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,内山 壮真,市川 悠太
ヤクルト,5月18日(木),塩見 泰隆,濱田 太貴,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,内山 壮真,サイスニード
ヤクルト,5月20日(土),塩見 泰隆,青木 宣親,山田 哲人,村上 宗隆,サンタナ,オスナ,長岡 秀樹,内山 壮真,ピーターズ
ヤクルト,5月21日(日),濱田 太貴,山田 哲人,サンタナ,村上 宗隆,内山 壮真,オスナ,長岡 秀樹,中村 悠平,小川 泰弘
ヤクルト,5月23日(火),塩見 泰隆,内山 壮真,山田 哲人,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,石川 雅規
ヤクルト,5月24日(水),山崎 晃大朗,サンタナ,山田 哲人,村上 宗隆,塩見 泰隆,オスナ,長岡 秀樹,古賀 優大,吉村 貢司郎
ヤクルト,5月25日(木),並木 秀尊,サンタナ,山田 哲人,村上 宗隆,塩見 泰隆,オスナ,中村 悠平,長岡 秀樹,サイスニード
ヤクルト,5月26日(金),太田 賢吾,サンタナ,山田 哲人,村上 宗隆,オスナ,濱田 太貴,長岡 秀樹,古賀 優大,高梨 裕稔
ヤクルト,5月27日(土),太田 賢吾,山崎 晃大朗,オスナ,村上 宗隆,濱田 太貴,西浦 直亨,中村 悠平,長岡 秀樹,ピーターズ
ヤクルト,5月28日(日),太田 賢吾,武岡 龍世,サンタナ,村上 宗隆,オスナ,山崎 晃大朗,中村 悠平,長岡 秀樹,小川 泰弘
ヤクルト,5月30日(火),太田 賢吾,山崎 晃大朗,山田 哲人,村上 宗隆,サンタナ,オスナ,濱田 太貴,中村 悠平,長岡 秀樹
ヤクルト,5月31日(水),濱田 太貴,青木 宣親,山田 哲人,村上 宗隆,サンタナ,山崎 晃大朗,オスナ,中村 悠平,武岡 龍世
ヤクルト,6月1日(木),山田 哲人,青木 宣親,川端 慎吾,村上 宗隆,サンタナ,中村 悠平,オスナ,山崎 晃大朗,長岡 秀樹
ヤクルト,6月3日(土),山田 哲人,山崎 晃大朗,青木 宣親,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,ピーターズ
ヤクルト,6月4日(日),山田 哲人,山崎 晃大朗,青木 宣親,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,小澤 怜史
ヤクルト,6月6日(火),山田 哲人,青木 宣親,川端 慎吾,村上 宗隆,サンタナ,中村 悠平,オスナ,内山 壮真,長岡 秀樹
ヤクルト,6月7日(水),山田 哲人,山崎 晃大朗,サンタナ,村上 宗隆,オスナ,青木 宣親,濱田 太貴,中村 悠平,長岡 秀樹
ヤクルト,6月8日(木),山田 哲人,山崎 晃大朗,川端 慎吾,村上 宗隆,サンタナ,青木 宣親,オスナ,中村 悠平,長岡 秀樹
ヤクルト,6月9日(金),山田 哲人,青木 宣親,川端 慎吾,村上 宗隆,サンタナ,内山 壮真,オスナ,三ツ俣 大樹,古賀 優大
ヤクルト,6月10日(土),山田 哲人,内山 壮真,川端 慎吾,村上 宗隆,青木 宣親,サンタナ,中村 悠平,オスナ,武岡 龍世
ヤクルト,6月11日(日),武岡 龍世,内山 壮真,青木 宣親,村上 宗隆,川端 慎吾,サンタナ,中村 悠平,オスナ,長岡 秀樹
ヤクルト,6月13日(火),山田 哲人,オスナ,青木 宣親,村上 宗隆,サンタナ,内山 壮真,中村 悠平,武岡 龍世,小川 泰弘
ヤクルト,6月14日(水),山田 哲人,内山 壮真,青木 宣親,村上 宗隆,サンタナ,中村 悠平,オスナ,長岡 秀樹,高橋 奎二
