raw_line
遊ゴ
遊ゴ
三直
二飛
一ゴ
二ゴ
三振
左安
中安
二ゴ
右安
三ゴ
四球
三振
三振
三ゴ
二ゴ
三直
遊飛
三振
遊ゴ
三振
左安
中飛
中安
遊併
遊ゴ
右飛
投直
一飛
左安
遊ゴ
死球
左安
三ゴ
三ゴ
中飛
中犠
右本
左飛
右飛
右飛
中２
右２
左本
三振
投ゴ
死球
三飛
右安
右飛
三振
右２
右飛
三振
中安
中安
二飛
二ゴ
右飛
二ゴ
一直
二ゴ
四球
四球
右安
三振
三振
四球
死球
