球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
阪神,5月18日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,木浪 聖也,伊原 陵人
阪神,5月20日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,5月21日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,木浪 聖也,ビーズリー
阪神,5月22日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,髙寺 望夢,坂本 誠志郎,島田 海吏,デュプランティエ
阪神,5月23日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,木浪 聖也,豊田 寛,坂本 誠志郎,村上 頌樹
阪神,5月24日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,木浪 聖也,髙寺 望夢,坂本 誠志郎,大竹 耕太郎
阪神,5月25日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,木浪 聖也,坂本 誠志郎,伊原 陵人
阪神,5月27日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,木浪 聖也,梅野 隆太郎,才木 浩人
阪神,5月28日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,木浪 聖也,梅野 隆太郎,門別 啓人
阪神,5月29日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,木浪 聖也,坂本 誠志郎,デュプランティエ
阪神,5月30日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,5月31日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,6月1日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,坂本 誠志郎,木浪 聖也,伊原 陵人
阪神,6月3日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,豊田 寛,木浪 聖也,梅野 隆太郎
阪神,6月4日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,糸原 健斗,ヘルナンデス,木浪 聖也,梅野 隆太郎
阪神,6月5日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,熊谷 敬宥,木浪 聖也,坂本 誠志郎
阪神,6月6日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,6月7日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,熊谷 敬宥,坂本 誠志郎,大竹 耕太郎
阪神,6月8日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,木浪 聖也,坂本 誠志郎,小幡 竜平,伊原 陵人
阪神,6月10日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,小幡 竜平,梅野 隆太郎,熊谷 敬宥
阪神,6月11日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,糸原 健斗,ヘルナンデス,小幡 竜平,坂本 誠志郎
阪神,6月12日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,木浪 聖也,坂本 誠志郎,熊谷 敬宥
阪神,6月13日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,坂本 誠志郎,小幡 竜平,豊田 寛,熊谷 敬宥
阪神,6月14日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,豊田 寛,坂本 誠志郎,小幡 竜平
阪神,6月15日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,豊田 寛,坂本 誠志郎,小幡 竜平
阪神,6月17日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,糸原 健斗,梅野 隆太郎,小幡 竜平,才木 浩人
阪神,6月18日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,糸原 健斗,坂本 誠志郎,小幡 竜平,伊藤 将司
阪神,6月19日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,糸原 健斗,デュプランティエ
阪神,6月20日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,坂本 誠志郎,小幡 竜平,村上 頌樹
阪神,6月21日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,髙寺 望夢,大竹 耕太郎
阪神,6月22日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,小幡 竜平,坂本 誠志郎,伊原 陵人
阪神,6月27日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,ヘルナンデス,坂本 誠志郎,村上 頌樹
阪神,6月28日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,ヘルナンデス,小幡 竜平,坂本 誠志郎,デュプランティエ
阪神,6月29日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,小幡 竜平,伊藤 将司
阪神,7月1日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,小幡 竜平,才木 浩人
阪神,7月2日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,豊田 寛,小幡 竜平,坂本 誠志郎,大竹 耕太郎
阪神,7月3日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,豊田 寛,小幡 竜平,坂本 誠志郎,伊原 陵人
阪神,7月4日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,ヘルナンデス,小幡 竜平,前川 右京,坂本 誠志郎,村上 頌樹
阪神,7月5日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,熊谷 敬宥,坂本 誠志郎,デュプランティエ
阪神,7月6日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,小幡 竜平,坂本 誠志郎,伊藤 将司
阪神,7月8日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,熊谷 敬宥,梅野 隆太郎,才木 浩人
阪神,7月9日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,熊谷 敬宥,坂本 誠志郎,大竹 耕太郎
阪神,7月10日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,豊田 寛,熊谷 敬宥,坂本 誠志郎,伊原 陵人
阪神,7月11日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,豊田 寛,小幡 竜平,坂本 誠志郎,村上 頌樹
阪神,7月12日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,小幡 竜平,坂本 誠志郎,豊田 寛,デュプランティエ
