球団,日付,選手名,得点,raw
DeNA,2025-04-17,牧 秀悟,9.0,G 1 - 9 DB
DeNA,2025-04-19,牧 秀悟,2.0,D 3 - 2 DB
DeNA,2025-04-20,牧 秀悟,0.0,D 2 - 0 DB
DeNA,2025-04-22,牧 秀悟,2.0,DB 2 - 4 T
DeNA,2025-04-23,牧 秀悟,2.0,DB 2 - 3 T
DeNA,2025-04-24,牧 秀悟,2.0,DB 2 - 4 T
DeNA,2025-04-25,牧 秀悟,2.0,DB 2 - 1 C
DeNA,2025-04-26,牧 秀悟,2.0,DB 2 - 0 C
DeNA,2025-04-27,牧 秀悟,2.0,DB 2 - 1 C
DeNA,2025-04-29,牧 秀悟,,
DeNA,2025-04-30,牧 秀悟,,
DeNA,2025-05-01,牧 秀悟,3.0,S 0 - 3 DB
DeNA,2025-05-03,牧 秀悟,1.0,DB 1 - 0 G
DeNA,2025-05-04,牧 秀悟,1.0,DB 1 - 3 G
DeNA,2025-05-30,牧 秀悟,6.0,DB 6 - 2 S
DeNA,2025-05-31,牧 秀悟,5.0,DB 5 - 2 S
DeNA,2025-06-01,牧 秀悟,3.0,DB 3 - 2 S
DeNA,2025-06-03,牧 秀悟,6.0,E 3 - 6 DB
DeNA,2025-06-04,牧 秀悟,1.0,E 3 - 1 DB
DeNA,2025-06-05,牧 秀悟,5.0,E 0 - 5 DB
DeNA,2025-06-06,牧 秀悟,2.0,DB 2 - 1 F
DeNA,2025-06-07,牧 秀悟,4.0,DB 4 - 7 F
DeNA,2025-06-08,牧 秀悟,5.0,DB 5 - 4 F
DeNA,2025-06-10,牧 秀悟,0.0,B 2 - 0 DB
DeNA,2025-06-11,牧 秀悟,4.0,B 0 - 4 DB
DeNA,2025-06-12,牧 秀悟,2.0,B 4 - 2 DB
DeNA,2025-06-13,牧 秀悟,1.0,H 4 - 1 DB
DeNA,2025-06-14,牧 秀悟,0.0,H 4 - 0 DB
DeNA,2025-06-15,牧 秀悟,3.0,H 4 - 3 DB
DeNA,2025-06-17,牧 秀悟,0.0,DB 0 - 3 L
DeNA,2025-06-18,牧 秀悟,4.0,DB 4 - 2 L
DeNA,2025-06-19,牧 秀悟,1.0,DB 1 - 2 L
DeNA,2025-06-20,牧 秀悟,1.0,DB 1 - 6 M
DeNA,2025-06-21,牧 秀悟,5.0,DB 5 - 0 M
DeNA,2025-06-22,牧 秀悟,9.0,DB 9 - 10 M
DeNA,2025-06-27,牧 秀悟,0.0,G 4 - 0 DB
DeNA,2025-06-28,牧 秀悟,0.0,G 5 - 0 DB
DeNA,2025-06-29,牧 秀悟,0.0,G 1 - 0 DB
DeNA,2025-07-01,牧 秀悟,3.0,DB 3 - 2 D
DeNA,2025-07-02,牧 秀悟,4.0,DB 4 - 3 D
DeNA,2025-07-03,牧 秀悟,8.0,DB 8 - 5 D
DeNA,2025-07-04,牧 秀悟,1.0,DB 1 - 7 T
DeNA,2025-07-05,牧 秀悟,0.0,DB 0 - 3 T
DeNA,2025-07-06,牧 秀悟,1.0,DB 1 - 5 T
DeNA,2025-07-08,牧 秀悟,4.0,S 0 - 4 DB
DeNA,2025-07-09,牧 秀悟,4.0,S 4 - 4 DB
DeNA,2025-07-11,牧 秀悟,1.0,DB 1 - 2 G
DeNA,2025-07-12,牧 秀悟,0.0,DB 0 - 3 G
DeNA,2025-07-13,牧 秀悟,4.0,DB 4 - 3 G
DeNA,2025-07-15,牧 秀悟,1.0,C 0 - 1 DB
DeNA,2025-07-16,牧 秀悟,3.0,C 4 - 3 DB
DeNA,2025-07-17,牧 秀悟,1.0,C 1 - 1 DB
DeNA,2025-07-19,牧 秀悟,2.0,D 7 - 2 DB
DeNA,2025-07-20,牧 秀悟,5.0,D 3 - 5 DB
DeNA,2025-07-21,牧 秀悟,1.0,D 0 - 1 DB
DeNA,2025-07-26,牧 秀悟,0.0,T 2 - 0 DB
DeNA,2025-07-27,牧 秀悟,1.0,T 7 - 1 DB
DeNA,2025-07-29,牧 秀悟,1.0,DB 1 - 5 S
DeNA,2025-07-30,牧 秀悟,1.0,DB 1 - 2 S
DeNA,2025-07-31,牧 秀悟,14.0,DB 14 - 1 S
オリックス,2025-03-28,杉本 裕太郎,3.0,B 3 - 2 E
オリックス,2025-03-29,杉本 裕太郎,4.0,B 4 - 5 E
オリックス,2025-03-29,杉本 裕太郎,3.0,B 3 - 2 M
オリックス,2025-03-30,杉本 裕太郎,6.0,B 6 - 1 E
