球団,4番,4番出場回数
DeNA,牧 秀悟,79
オリックス,森 友哉,62
ソフトバンク,山川 穂高,143
ヤクルト,村上 宗隆,131
ロッテ,ソト,116
中日,細川 成也,86
巨人,岡本 和真,143
広島,小園 海斗,71
日本ハム,マルティネス,79
楽天,浅村 栄斗,76
西武,佐藤 龍世,32
阪神,大山 悠輔,90
