球団,4番,4番出場回数
DeNA,牧 秀悟,79
DeNA,オースティン,49
DeNA,筒香 嘉智,15
オリックス,森 友哉,62
オリックス,西川 龍馬,41
オリックス,セデーニョ,29
オリックス,杉本 裕太郎,4
オリックス,頓宮 裕真,4
オリックス,中川 圭太,3
ソフトバンク,山川 穂高,143
ヤクルト,村上 宗隆,131
ヤクルト,サンタナ,11
ヤクルト,オスナ,1
ロッテ,ソト,116
ロッテ,ポランコ,13
ロッテ,山口 航輝,7
ロッテ,角中 勝也,3
ロッテ,佐藤 都志也,1
ロッテ,安田 尚憲,1
ロッテ,岡 大海,1
ロッテ,石川 慎吾,1
中日,細川 成也,86
中日,中田 翔,32
中日,石川 昂弥,12
中日,カリステ,6
中日,福永 裕基,5
中日,川越 誠司,2
巨人,岡本 和真,143
広島,小園 海斗,71
広島,末包 昇大,29
広島,堂林 翔太,25
広島,坂倉 将吾,10
広島,野間 峻祥,5
広島,松山 竜平,2
広島,仲田 侑仁,1
日本ハム,マルティネス,79
日本ハム,レイエス,34
日本ハム,清宮 幸太郎,18
日本ハム,郡司 裕也,5
日本ハム,万波 中正,2
日本ハム,水谷 瞬,2
日本ハム,野村 佑希,2
日本ハム,田宮 裕涼,1
楽天,浅村 栄斗,76
楽天,島内 宏明,28
楽天,鈴木 大地,23
楽天,阿部 寿樹,14
楽天,フランコ,1
楽天,伊藤 裕季也,1
西武,佐藤 龍世,32
西武,山村 崇嘉,32
西武,アギラー,29
西武,中村 剛也,23
西武,岸 潤一郎,18
西武,蛭間 拓哉,4
西武,元山 飛優,2
西武,外崎 修汰,1
西武,栗山 巧,1
西武,陽川 尚将,1
阪神,大山 悠輔,90
阪神,佐藤 輝明,39
阪神,近本 光司,12
阪神,原口 文仁,1
阪神,森下 翔太,1
