球団,選手名,4番出場回数,試合,打席,打数,安打,本塁打,打点,四球,死球,三振,併殺打,OBP,SLG,OPS
DeNA,牧 秀悟,79,133,561,517,152,23,74,37,5,59,13,.346,.491,.837
オリックス,森 友哉,62,117,457,395,111,9,46,50,7,61,4,.368,.415,.783
ソフトバンク,山川 穂高,143,143,611,550,136,34,99,48,10,158,17,.318,.484,.801
ヤクルト,村上 宗隆,131,143,610,500,122,33,86,105,4,180,6,.379,.472,.851
ロッテ,ソト,116,132,542,491,132,21,88,42,5,136,19,.330,.450,.780
中日,細川 成也,86,143,600,534,156,23,67,60,5,159,13,.368,.478,.846
巨人,岡本 和真,143,143,611,535,150,27,83,66,5,97,5,.362,.501,.863
広島,小園 海斗,71,143,588,540,151,2,61,30,6,53,6,.322,.330,.651
日本ハム,マルティネス,79,126,459,393,92,13,57,51,11,101,12,.336,.405,.740
楽天,浅村 栄斗,76,143,552,471,119,14,60,68,4,101,12,.346,.382,.728
西武,佐藤 龍世,32,93,345,295,72,7,34,37,4,70,10,.330,.390,.720
阪神,大山 悠輔,90,130,545,483,125,14,68,52,7,88,19,.338,.383,.721
