球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
阪神,3月29日(金),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,前川 右京,坂本 誠志郎,木浪 聖也,青柳 晃洋
阪神,3月30日(土),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,3月31日(日),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,前川 右京,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月2日(火),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月3日(水),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,梅野 隆太郎,木浪 聖也,伊藤 将司
阪神,4月4日(木),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,前川 右京,佐藤 輝明,梅野 隆太郎,木浪 聖也,西 勇輝
阪神,4月5日(金),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,ノイジー,佐藤 輝明,坂本 誠志郎,木浪 聖也,青柳 晃洋
阪神,4月6日(土),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,前川 右京,佐藤 輝明,坂本 誠志郎,小幡 竜平,大竹 耕太郎
阪神,4月7日(日),近本 光司,中野 拓夢,前川 右京,大山 悠輔,ノイジー,佐藤 輝明,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月9日(火),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,ノイジー,佐藤 輝明,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月10日(水),近本 光司,中野 拓夢,前川 右京,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,木浪 聖也,伊藤 将司
阪神,4月11日(木),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,木浪 聖也,西 勇輝
阪神,4月12日(金),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,前川 右京,坂本 誠志郎,木浪 聖也,青柳 晃洋
阪神,4月13日(土),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,4月14日(日),木浪 聖也,梅野 隆太郎,近本 光司,佐藤 輝明,大山 悠輔,前川 右京,森下 翔太,中野 拓夢,才木 浩人
阪神,4月16日(火),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月17日(水),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,前川 右京,梅野 隆太郎,木浪 聖也,伊藤 将司
阪神,4月18日(木),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,梅野 隆太郎,木浪 聖也,西 勇輝
阪神,4月19日(金),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,坂本 誠志郎,木浪 聖也,青柳 晃洋
阪神,4月20日(土),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,4月21日(日),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,ノイジー,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月23日(火),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,佐藤 輝明,前川 右京,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月24日(水),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,ノイジー,佐藤 輝明,梅野 隆太郎,木浪 聖也,伊藤 将司
