球団,選手名,4番試合数,合計得点,平均得点
DeNA,牧 秀悟,78,268.0,3.436
オリックス,杉本 裕太郎,4,5.0,1.25
ソフトバンク,山川 穂高,142,604.0,4.254
ヤクルト,オスナ,1,1.0,1.0
中日,細川 成也,86,217.0,2.523
巨人,岡本 和真,142,456.0,3.211
広島,末包 昇大,29,96.0,3.31
日本ハム,野村 佑希,2,6.0,3.0
阪神,佐藤 輝明,39,156.0,4.0
